Cross Lochs,Restored 2006,Restored 2015,Erosion
-0.1107202,-0.16145855,-0.05035521,-0.11336717
-0.08852053,-0.16205838,-0.06332938,-0.07157788
-0.08523136,-0.16595623,-0.07316446,-0.07713623
-0.09309333,-0.15477811,-0.02079656,-0.10090782
-0.0939174,-0.15593106,0.00640987,-0.12395543
-0.09856087,-0.15138128,-0.04145337,-0.13140547
-0.11071846,-0.099456,-0.08570413,-0.13448466
-0.1232964,-0.13453318,-0.12365173,-0.13920203
-0.07904132,-0.09976515,-0.1671506,-0.13790232
-0.05494007,-0.13562123,-0.14583485,-0.14074877
-0.04624084,-0.15774623,-0.17391467,-0.13634332
-0.07502951,-0.14620176,-0.17342247,-0.13934569
-0.11349182,-0.15239508,-0.15970404,-0.13719684
-0.1062448,-0.14990573,-0.15898488,-0.12707606
-0.09286248,-0.13479298,-0.16659056,-0.12169596
-0.09920757,-0.13473737,-0.16561727,-0.12464464
-0.09764716,-0.13429496,-0.16297147,-0.13054132
-0.11073454,-0.14001116,-0.17973226,-0.12244548
-0.13379036,-0.13399859,-0.1786631,-0.10431361
-0.15639973,-0.11759719,-0.14215054,-0.11792137
-0.15650198,-0.10401257,-0.174595,-0.12489308
-0.14484504,-0.09656776,-0.14364018,-0.12949854
-0.13562267,-0.10241924,-0.13580395,-0.13042888
-0.12820998,-0.0934385,-0.06169755,-0.12262283
-0.1349384,-0.07635017,-0.07654539,-0.11082137
-0.14131826,-0.07293592,-0.02231649,-0.07623115
-0.1480837,-0.08992666,-0.12002779,-0.09769161
-0.16227213,-0.04966713,-0.12430574,-0.13317488
-0.18367398,-0.08056442,-0.08500097,-0.13077162
-0.16175331,-0.11034369,-0.03737008,-0.14017512
-0.16698043,-0.08474085,0.01310055,-0.12643793
-0.16419351,-0.07037497,-0.01577747,-0.10762203
-0.16930677,-0.0932992,-0.05096812,-0.11609205
-0.17103654,-0.11242217,-0.11374158,-0.12551285
-0.14229228,-0.08658086,-0.13623758,-0.11468476
-0.12110297,-0.07682766,-0.15203777,-0.1016746
-0.09480681,-0.10008205,-0.08845775,-0.13875245
-0.06979893,-0.10710423,-0.00597922,-0.14635321
-0.11177157,-0.09697752,0.03535654,-0.14398751
-0.14314361,-0.10395432,0.03112578,-0.14634348
-0.14439453,-0.10498997,0.05602913,-0.1132459
-0.13132402,-0.11187626,-0.04413468,-0.10892709
-0.13924415,-0.09874067,0.03169477,-0.14623949
-0.1305985,-0.09949847,0.03768262,-0.13492662
-0.10442968,-0.10533271,-0.02142677,-0.13544272
-0.02634199,-0.10079268,0.0392143,-0.14120255
0.02255729,-0.09952219,0.03172159,-0.13813327
0.29957366,-0.09073779,0.0309991,-0.14627451
0.15991609,-0.0744102,0.02812625,-0.13767992
0.13047777,-0.08943978,0.00728675,-0.12321223
0.13930017,-0.07585627,0.00720319,-0.12231205
0.1072102,-0.10083873,-0.02212851,-0.13183433
0.09408734,-0.13436402,-0.0517539,-0.14338978
0.09010056,-0.14355105,-0.06186903,-0.14483309
0.08078471,-0.1521301,-0.06994599,-0.1220143
0.06730327,-0.09563161,-0.07187214,-0.1171754
0.05792105,-0.09686366,-0.06075951,-0.08464425
0.06228947,-0.02664037,-0.04743714,-0.0926272
0.05856018,0.06676679,-0.04389324,-0.08073673
0.05273554,0.06196278,-0.04865389,-0.12046058
0.05002815,0.07566041,-0.0422216,-0.12313095
0.05068997,0.07464469,-0.05561635,-0.11948693
0.0387428,0.01634688,-0.05551481,-0.12387097
0.05323642,-0.03404706,-0.02209476,-0.13276184
0.04507576,-0.03468996,-0.04274035,-0.12059328
0.05742981,-0.03777174,-0.045004,-0.1391931
0.05685942,0.02223152,-0.03520358,-0.14104353
0.04596478,0.03873834,-0.02960477,-0.12547036
0.06421228,0.03226276,-0.03393369,-0.09641819
0.05430925,0.08964395,-0.04786234,-0.1143952
0.06563006,0.067439,-0.04853062,-0.13053019
0.07105575,0.07603228,-0.062176,-0.13874049
0.08619613,0.09198023,-0.11716679,-0.1346202
0.12745877,0.12726794,-0.11793561,-0.14124589
0.15549126,0.09443444,-0.11847825,-0.1371285
0.12500507,0.02018799,-0.11218802,-0.13543527
0.13563485,-0.05780879,-0.11615277,-0.13626002
0.16075741,-0.07526644,-0.10067537,-0.12502447
0.25923082,-0.07950664,-0.04709244,-0.11959423
0.27089086,-0.10028368,-0.0598592,-0.13384174
0.29060045,-0.10455301,-0.12846738,-0.12483533
0.062213,-0.05674974,-0.12780225,-0.10582276
-0.05426232,-0.06787703,-0.12255301,-0.11549624
-0.13766627,-0.04853434,-0.1357328,-0.06136875
-0.1445314,-0.0442559,-0.15801316,-0.06512446
-0.1974397,-0.02614204,-0.13513033,-0.05925946
-0.2286815,-0.04644052,-0.11058913,-0.07816441
-0.1889233,-0.02134435,-0.07837632,-0.06400464
-0.17771371,0.00226359,-0.00635552,-0.06866436
-0.15878415,0.01557532,0.02479026,-0.07493696
-0.10576313,-0.04698812,0.25344405,-0.06006711
-0.13118424,-0.06582652,0.14076816,-0.05246646
-0.13887049,-0.10011014,0.00159934,-0.06837694
-0.15054826,-0.12984759,-0.11754288,-0.08151534
-0.15432978,-0.13207242,-0.13679346,-0.08367984
-0.13148218,-0.14793643,-0.14507048,-0.09420898
-0.11956596,-0.13343002,-0.15013826,-0.09562858
-0.14080481,-0.11546901,-0.14707541,-0.09893309
-0.13029043,-0.07934346,-0.12430813,-0.09990449
-0.13242358,-0.08552098,-0.12932155,-0.09727479
-0.12088932,-0.14760822,-0.1153414,-0.06314822
-0.11645156,-0.16697596,-0.09979587,-0.06772354
-0.10638097,-0.16534236,-0.10996141,-0.07291673
-0.09080678,-0.1630403,-0.09515246,-0.08766752
-0.07731616,-0.16094905,-0.08674126,-0.08383529
-0.06866936,-0.1597231,-0.06727313,-0.07937539
-0.05068744,-0.16137163,-0.08069641,-0.07674012
-0.04246465,-0.16526717,-0.09262847,-0.09860299
-0.03464549,-0.17469956,-0.09292185,-0.09935352
-0.0470435,-0.17205952,-0.09107028,-0.06821599
-0.06657653,-0.17395486,-0.08672592,-0.07863255
-0.10154833,-0.18301797,-0.08085303,-0.10245458
-0.10154833,-0.18802455,-0.08576657,-0.10933467
-0.09499401,-0.19913411,-0.09229735,-0.10152312
-0.08458639,-0.20092714,-0.08325971,-0.11067834
-0.14110972,-0.18253954,-0.08932073,-0.11361872
-0.15135244,-0.16387993,-0.09106862,-0.11485884
-0.15514189,-0.17757365,-0.08773182,-0.12767124
-0.1609055,-0.19119774,-0.09891109,-0.12979148
-0.17009476,-0.1724702,-0.09658662,-0.12622005
-0.18666057,-0.16695839,-0.10122366,-0.12887956
-0.18605296,-0.17794561,-0.10491312,-0.12806308
-0.18335392,-0.18647169,-0.10777196,-0.11195574
-0.17506646,-0.18490073,-0.0841141,-0.09325182
-0.17715518,-0.18842557,-0.06940306,-0.08516047
-0.16797791,-0.17464723,-0.07087832,-0.08147783
