Cross Lochs,Restored 2006,Restored 2015,Erosion
-0.08698832,-0.10953971,-0.10138236,-0.08147914
-0.08229362,-0.09983639,-0.09953573,-0.07516499
-0.08253021,-0.09925657,-0.0979697,-0.07623583
-0.08163077,-0.1060176,-0.0944915,-0.07895603
-0.07908998,-0.10441661,-0.09833368,-0.08211169
-0.08181477,-0.10810763,-0.09941633,-0.08952854
-0.08204292,-0.10861682,-0.09701655,-0.09156468
-0.08127199,-0.11038697,-0.09149145,-0.08903398
-0.07335336,-0.10600715,-0.07599743,-0.09128683
-0.06744711,-0.10693341,-0.07516859,-0.08608813
-0.06622274,-0.10113025,-0.07898924,-0.0853978
-0.06425176,-0.09523864,-0.0748197,-0.08716054
-0.06651562,-0.09500236,-0.07801317,-0.0870301
-0.07506644,-0.09688202,-0.07840697,-0.08695848
-0.08260553,-0.10246721,-0.08061653,-0.08253098
-0.07334091,-0.1020501,-0.07884158,-0.08975668
-0.07951817,-0.10168532,-0.07727214,-0.08495802
-0.08214329,-0.10363746,-0.07778621,-0.08133297
-0.08006271,-0.1043478,-0.0761716,-0.08245192
-0.08549076,-0.10234983,-0.07884651,-0.08388086
-0.074302,-0.09752908,-0.0791611,-0.08097814
-0.07514363,-0.09672381,-0.08037999,-0.08527374
-0.07712193,-0.09878825,-0.0874241,-0.08865927
-0.08220787,-0.09829617,-0.09947327,-0.08517889
-0.08076277,-0.09652407,-0.08521997,-0.08547704
-0.08031167,-0.09303399,-0.05710423,-0.07308762
-0.07862733,-0.09216585,-0.08881152,-0.07791606
-0.07962796,-0.08787347,-0.08948948,-0.0865824
-0.07905079,-0.09208622,-0.08187336,-0.08570374
-0.07734931,-0.09361238,-0.07762299,-0.08314484
-0.07973619,-0.09131447,-0.08239897,-0.08092683
-0.0808999,-0.09280743,-0.07771834,-0.07635337
-0.08155155,-0.09395076,-0.06492843,-0.08010422
-0.08934459,-0.08963649,-0.07381526,-0.08356322
-0.08700108,-0.09167592,-0.07483431,-0.08731464
-0.08540293,-0.08972306,-0.07825834,-0.086077
-0.08759379,-0.09158175,-0.08340026,-0.08506314
-0.07821022,-0.08872104,-0.08032877,-0.08701303
-0.07978281,-0.08715831,-0.08237179,-0.09420699
-0.07828036,-0.08482006,-0.07925855,-0.09123567
-0.07913219,-0.08801345,-0.07277021,-0.08572629
-0.07970224,-0.0911422,-0.06449962,-0.08183793
-0.07919846,-0.09078894,-0.07168321,-0.08930778
-0.07830495,-0.0895836,-0.0798806,-0.08753671
-0.08220842,-0.08292522,-0.08483387,-0.08854381
-0.08225831,-0.08840229,-0.08347672,-0.09111506
-0.11175061,-0.08908474,-0.08215468,-0.09088539
-0.14818282,-0.09086517,-0.08495857,-0.09070613
-0.14085788,-0.09007961,-0.07995863,-0.08866915
-0.13093531,-0.09266829,-0.0786761,-0.08297362
-0.12127399,-0.09481089,-0.08021637,-0.08361376
-0.11730301,-0.09620531,-0.0821019,-0.08773058
-0.10528736,-0.0954446,-0.0803552,-0.08672722
-0.08969571,-0.09278817,-0.08655775,-0.09199691
-0.08589397,-0.09299214,-0.08657446,-0.09012455
-0.08723893,-0.09129984,-0.08627778,-0.08547176
-0.08324324,-0.09186304,-0.08676241,-0.08972818
-0.08298299,-0.07752342,-0.08907722,-0.09257201
-0.08431333,-0.04791965,-0.08153697,-0.09023389
-0.07127023,-0.046211,-0.09179296,-0.08962043
-0.07626744,-0.05362432,-0.09897068,-0.0914399
-0.06586082,-0.05375653,-0.08870607,-0.08814216
-0.07191136,-0.06218603,-0.08650675,-0.08608369
