Cross Lochs,Restored 2006,Restored 2015,Erosion
1.20377588,1.31811583,1.18036711,1.35917854
1.19785047,1.23892188,1.18273306,1.34450722
1.18574679,1.20535362,1.18585789,1.31495452
1.19960093,1.20206928,1.17529655,1.30083799
1.22521806,1.2031275,1.17009819,1.28507483
1.2409308,1.20649171,1.18472373,1.29007769
1.21383774,1.21504414,1.19269073,1.28838563
1.21533084,1.2306962,1.19776714,1.29936039
1.20737267,1.25466084,1.21260667,1.29645121
1.22681081,1.19766104,1.2266897,1.35193646
1.22875166,1.18970251,1.23863399,1.37330985
1.24145997,1.19312608,1.21230114,1.36559522
1.25510621,1.18125176,1.23659396,1.32237625
1.24661434,1.18191695,1.23132265,1.31036353
1.25112259,1.18488634,1.26679921,1.32081592
1.27676284,1.18248427,1.24310493,1.31286287
1.3198384,1.18043685,1.23742557,1.29258668
1.3196044,1.18309402,1.20999312,1.28346336
1.30455327,1.18452013,1.20162821,1.32126021
1.27192044,1.17867625,1.22209835,1.31112492
1.23077941,1.18438613,1.21409464,1.29213727
1.23077941,1.18968642,1.21667349,1.27095878
1.24802434,1.17459929,1.2052027,1.26274693
1.27287245,1.18307555,1.2080847,1.25941789
1.20794868,1.17902279,1.2048775,1.25904584
1.22229552,1.18541443,1.21024394,1.2645514
1.23235166,1.1761502,1.20494163,1.241804
1.22805822,1.17476225,1.20969832,1.23169744
1.17944956,1.18011975,1.21438038,1.23348701
1.19071627,1.17705834,1.2074697,1.23513138
1.18116355,1.1739856,1.21414578,1.23770154
1.19782662,1.17223382,1.22022843,1.24367547
1.19073236,1.16883516,1.27519405,1.26143932
1.17828298,1.16571748,1.30986166,1.26211059
1.17033195,1.17603111,1.31546628,1.24465728
1.15800643,1.1666832,1.26773381,1.25206637
1.17034376,1.16537988,1.23901927,1.29773688
1.18918359,1.15425217,1.22746634,1.25797117
1.18223155,1.16793239,1.212695,1.25677061
1.17639232,1.1858108,1.20875251,1.27286458
1.17752981,1.17084265,1.19215643,1.2826097
1.16270137,1.16886103,1.18109775,1.29524577
1.16155183,1.16575396,1.20731688,1.29744434
1.17146277,1.16509426,1.20241356,1.30918789
1.17832196,1.15981913,1.19486976,1.27495241
1.1737659,1.15811801,1.20063996,1.25143456
1.17694581,1.15853596,1.16944921,1.24906564
1.1480304,1.16390073,1.2016542,1.24383104
1.1639818,1.16702259,1.23456395,1.2522949
1.17097521,1.16356313,1.35858667,1.25502682
1.18009412,1.15683055,1.35428178,1.26239264
1.18944788,1.16483653,1.30368721,1.25209177
1.17671359,1.16896272,1.30957162,1.26851618
1.17859137,1.16217601,1.25820029,1.29175115
1.19260538,1.1577872,1.33415794,1.29916453
1.18443763,1.15621293,1.38536835,1.27207196
1.18287826,1.14672565,1.36925447,1.23707759
1.1679548,1.15723586,1.37625813,1.22012413
1.18011892,1.16618645,1.21742952,1.226421
1.18112481,1.15999973,1.12008488,1.22851717
1.16952288,1.13908803,1.10081983,1.23847425
1.18266165,1.15053213,1.08942401,1.24524164
1.18311727,1.16993594,1.1100266,1.22635174
1.17539012,1.17156529,1.09835231,1.22710967
1.17985117,1.17225623,1.11549771,1.23864746
1.1831497,1.16528475,1.17708671,1.24161565
