Cross Lochs,Restored 2006,Restored 2015,Erosion
0.57843322,0.58042139,0.397239,0.61620736
0.59107739,0.56433809,0.23754953,0.60341942
0.58207738,0.57454544,0.34918824,0.58322233
0.5793978,0.57874221,0.2199377,0.57376099
0.60527748,0.6086328,0.24880636,0.59308541
0.61504775,0.63161159,0.58595002,0.62244749
0.60215753,0.6243186,0.80254376,0.71419507
0.5865078,0.63525087,0.6213339,0.66703856
0.56809545,0.68060297,0.62464243,0.58447391
0.53480506,0.65045655,0.65404052,0.58450669
0.55974948,0.5924257,0.6915741,0.57844037
0.57001221,0.59165335,0.74133515,0.61145347
0.56437534,0.59020346,0.68402451,0.66142642
0.55302209,0.58648038,0.59336436,0.64359224
0.56785041,0.56341684,0.58761346,0.62851
0.59566259,0.57676589,0.57404208,0.61599565
0.61714298,0.57464975,0.53548706,0.64229661
0.67057246,0.5577442,0.58891255,0.57566029
0.72167373,0.53796649,0.67851698,0.56720394
0.64821213,0.5565083,0.73978388,0.56334269
0.60238326,0.55251271,0.74126881,0.55680007
0.60645872,0.54884768,0.76457471,0.6256991
0.60466254,0.52313435,0.62416947,0.65136898
0.5735448,0.5557192,0.74668187,0.57276601
0.57793057,0.5388068,0.76461476,0.59838146
0.64059049,0.54529053,0.7239365,0.58272785
0.71528018,0.53754169,0.7521227,0.57363564
0.580082,0.53571153,0.74036312,0.568322
0.12129191,0.5485816,0.75555879,0.56164593
0.02556138,0.61508703,0.76452613,0.58230126
0.0276211,0.55552769,0.74304432,0.60221869
0.01530997,0.66368437,0.72768497,0.61372936
0.02421555,0.64498681,0.69645965,0.59323108
0.02015613,0.60261375,0.67649138,0.57825142
0.0605571,0.59512013,0.6647625,0.57998985
0.05346708,0.59751731,0.69737577,0.59631383
0.06560206,0.62197143,0.6800617,0.61974531
0.07462326,0.65492195,0.67010611,0.66758347
0.09415175,0.76702672,0.69801432,0.63920546
0.10420717,0.88641793,0.73756748,0.65256077
0.10755079,0.8591451,0.73262769,0.6227634
0.12026654,0.85531199,0.73561388,0.60568887
0.13128911,0.85843432,0.71864539,0.5969435
0.14422435,0.80091077,0.70553029,0.60820305
0.14758736,0.73767662,0.72993898,0.59978139
0.14260185,0.72416729,0.70915741,0.62496287
0.12867707,0.70814502,0.70540899,0.59993839
0.11097898,0.80219281,0.71610421,0.58736789
0.06670837,0.83193332,0.7003262,0.62050474
0.04635539,0.83353436,0.76404727,0.68374747
0.04582891,0.88429898,0.73990625,0.67252576
0.03428915,0.87147111,0.71932107,0.64391416
0.03918158,0.88919133,0.66247737,0.62782425
0.05096119,0.89510047,0.42862138,0.61056608
0.09258784,0.90729386,0.43639323,0.606691
0.11021358,0.87581867,0.48774648,0.61244458
0.09472363,0.78415352,0.56721771,0.59517866
0.10024802,0.65266544,0.54883754,0.59551626
0.09285009,0.62808782,0.60465914,0.6258598
0.15854476,0.61463606,0.69088131,0.64167494
0.15637961,0.58058417,0.64777833,0.61654526
0.25410086,0.61275768,0.34007213,0.62036568
0.49788684,0.73617673,0.42922547,0.67733651
0.74185914,0.69740319,0.5868333,0.67998642
0.60681617,0.72938162,0.51626432,0.74859452
0.60894686,0.73186272,0.28320596,0.7434234
0.53693759,0.79359132,0.39977616,0.74738234
0.50577956,0.76193607,0.54070103,0.71090388
0.5462811,0.81658673,0.56188023,0.73551685
0.52957034,0.85948271,0.57953829,0.73569882
0.53465223,0.86276984,0.593225,0.73155594
0.63314664,0.74250287,0.71784723,0.75416458
0.58621144,0.71236694,0.69456112,0.76639545
0.56386286,0.63134658,0.61468226,0.73290855
0.5328027,0.58087236,0.55673003,0.72477192
0.5640794,0.57777619,0.54188174,0.72805381
0.62173998,0.57144511,0.52930677,0.69378418
0.63368046,0.58101565,0.55123532,0.69446629
0.58956915,0.58671021,0.55624264,0.70039886
0.59551948,0.61827415,0.56558359,0.7142995
0.60694027,0.6287095,0.58472246,0.6999343
0.62159139,0.53860992,0.62121356,0.76559097
0.62553608,0.51161486,0.64117122,0.7699365
0.64381593,0.53040022,0.62159407,0.77315891
0.66752005,0.50697166,0.64759499,0.73969918
0.67582351,0.50383937,0.64894402,0.72327882
0.68904477,0.50262958,0.67168325,0.7314626
0.72728199,0.50046813,0.64037514,0.73475891
0.76436347,0.49702498,0.62314826,0.7047534
0.76228505,0.50652736,0.60577399,0.6993317
0.73935133,0.50881958,0.5963226,0.74955732
0.70704764,0.51054847,0.60494238,0.7362842
0.64723861,0.49794894,0.60708916,0.69830287
0.64723861,0.49459454,0.61081249,0.67814064
0.65497488,0.48428789,0.59080589,0.66337448
0.67563379,0.49691638,0.61316937,0.65589505
0.58807629,0.50865895,0.60448134,0.67520285
0.60147691,0.51678276,0.60108328,0.66689384
0.60748768,0.51078427,0.59947103,0.64594132
0.5963915,0.50083983,0.58809072,0.63496369
0.5317362,0.49601984,0.59800345,0.62836802
0.53426057,0.49714279,0.59474146,0.62719148
0.51670814,0.4900839,0.59643644,0.63479596
0.54455227,0.48119479,0.59824163,0.647407
0.54101592,0.47049403,0.6394797,0.66364843
0.52053565,0.47037259,0.68368924,0.66559833
0.51198965,0.49074748,0.68665123,0.63533217
0.4755412,0.46961844,0.63640004,0.64427263
0.48967037,0.46510583,0.59706926,0.6809628
0.52518308,0.43231347,0.61414224,0.64078999
0.51671296,0.47333014,0.620718,0.64846998
0.50674319,0.49436444,0.60341263,0.6683951
0.5114193,0.48487803,0.57327837,0.69187212
0.48786193,0.48215362,0.56288517,0.71178281
0.48941207,0.47833949,0.60724384,0.71156484
0.50039214,0.45402476,0.59323514,0.71416157
0.51867181,0.44869468,0.58934546,0.67536163
0.51431859,0.4564527,0.58373511,0.65247959
0.52052194,0.46327564,0.53951859,0.65410089
0.4683651,0.46316811,0.60177588,0.64715499
0.49750811,0.47534993,0.63508123,0.65545404
0.50234509,0.47228232,0.73999155,0.66001123
0.51392722,0.47264028,0.7428847,0.66593391
0.5346365,0.49708194,0.69262004,0.65869904
0.52874494,0.4905369,0.68532145,0.68580228
0.53372681,0.49991566,0.65931708,0.71073925
0.54974669,0.49296165,0.7614038,0.71305573
0.52718186,0.46956933,0.791439,0.67909157
0.51636922,0.48077562,0.77045518,0.63750511
0.50899571,0.48000351,0.75708592,0.61872268
0.52415615,0.49621817,0.51039726,0.62464505
0.51816285,0.51021087,0.31151599,0.6260075
0.50784945,0.49643219,0.28106335,0.62862915
0.52630067,0.51930273,0.24945219,0.64453912
0.51398861,0.5188005,0.29834816,0.61612177
0.51061994,0.52172112,0.28591463,0.62705839
0.52216738,0.50630629,0.3135176,0.63148969
0.53350246,0.49469239,0.4580158,0.63124174
0.49519926,0.51045847,0.51950806,0.61268914
0.49869666,0.51846689,0.54749793,0.62435299
0.49586558,0.50133592,0.56943262,0.63548148
0.51744103,0.48908615,0.61930984,0.63105816
0.51621282,0.52300501,0.63150382,0.6024735
0.5230605,0.52782154,0.53695267,0.61247522
0.52280563,0.54038364,0.59477252,0.61829257
0.4909271,0.53808838,0.5845834,0.62551057
0.51758546,0.51991826,0.59120858,0.62033349
0.52447051,0.51929045,0.57997876,0.64133424
0.53465337,0.50598341,0.5783298,0.64985687
0.53034902,0.50852638,0.47401279,0.64980358
0.4896161,0.51291883,0.43248975,0.64637512
0.48011085,0.51468414,0.44241676,0.65510535
0.51048434,0.489288,0.43300173,0.62217665
0.52647161,0.50671107,0.43870783,0.61392307
0.52864188,0.54118723,0.46020985,0.60101211
0.52651668,0.54838574,0.47196224,0.59007108
0.51883662,0.53160936,0.41827327,0.55511361
0.49086392,0.50253528,0.39347169,0.55735385
0.46594709,0.51118022,0.480616,0.55568928
0.47770548,0.49931026,0.56747484,0.56019938
0.49225146,0.47521362,0.59225291,0.56398684
0.48611581,0.49223337,0.58107483,0.58873445
0.48695689,0.51984078,0.62854964,0.56050706
0.48353726,0.49052811,0.58383459,0.54560637
0.49035126,0.47808066,0.58299255,0.5574854
0.48855668,0.49236161,0.61083919,0.57511067
0.4887554,0.48411849,0.59592497,0.5872463
0.47668189,0.49792546,0.66436303,0.60134864
0.49141261,0.52394295,0.66488004,0.58990777
0.49269426,0.52449286,0.64259231,0.59149194
0.47970212,0.52300733,0.61179996,0.57148474
0.47844285,0.51521909,0.64822119,0.57138073
0.54613119,0.46860188,0.66687411,0.57789445
0.57468921,0.53678536,0.67397934,0.58033949
0.50062543,0.54358411,0.66577673,0.56452709
0.52194667,0.52516139,0.6655916,0.58764684
0.52949703,0.50424433,0.68015027,0.66681337
0.51416236,0.49388766,0.65659416,0.72894788
0.48421606,0.50525719,0.67005908,0.73230082
0.4804998,0.54663134,0.65005666,0.6760909
0.55258358,0.55139798,0.62119746,0.61599225
0.56328595,0.56804407,0.60003102,0.58089781
0.54957896,0.56961614,0.57043481,0.57538766
0.57015705,0.57113224,0.57586312,0.58625627
0.59530205,0.55157453,0.64446914,0.55763757
0.63839716,0.54274064,0.73108393,0.55555779
0.67556036,0.53300059,0.6394369,0.5707224
0.69434416,0.52830189,0.61381048,0.57515383
0.7338922,0.50416338,0.42409769,0.57754242
0.69436461,0.52714407,0.33249283,0.58254004
0.6795634,0.54628116,0.48406982,0.58953953
0.68816859,0.56327653,0.31266651,0.59938389
0.70197779,0.54776108,0.31602803,0.58052492
0.64996427,0.54041851,0.47366443,0.60259473
0.63525856,0.5482958,0.45307153,0.62320918
0.62258488,0.56911463,0.29835194,0.64033926
0.6328302,0.57277292,0.41779652,0.61972249
0.65339398,0.58626348,0.53345382,0.59300238
0.64618707,0.5840174,0.46908334,0.57633758
0.67376721,0.57849038,0.35585079,0.56832439
0.64531267,0.58597529,0.28529355,0.59364784
0.62698257,0.57361037,0.33185476,0.6267637
0.62454844,0.54934549,0.22966993,0.69217646
0.60817027,0.52347791,0.23736472,0.65285581
0.58584797,0.55798012,0.27376676,0.57735062
0.59206688,0.58290565,0.59559518,0.5794459
0.60558057,0.62227887,0.80424976,0.58722389
0.5991565,0.6267727,0.65718198,0.60717809
